Position,Track Name,Artist,Streams,URL,Date
77,Mean It,Lauv,7375362,https://open.spotify.com/track/3GRSqlALWISqLeNncZMbpX,1/2/2020
78,Aventura,Lunay,7346877,https://open.spotify.com/track/37zdqI4r1gswIzczSBkRon,1/2/2020
79,Sucker,Jonas Brothers,7252733,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD,1/2/2020
80,Shape of You,Ed Sheeran,7245188,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,1/2/2020
81,Bohemian Rhapsody - 2011 Mix,Queen,7130407,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv,1/2/2020
82,Truth Hurts,Lizzo,7088919,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh,1/2/2020
83,rockstar (feat. 21 Savage),Post Malone,7015730,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt,1/2/2020
84,Blanco,J Balvin,6912122,https://open.spotify.com/track/2rc7BkzO8qepMFAxHtOrXc,1/2/2020
85,Hate Me (with Juice WRLD),Ellie Goulding,6901186,https://open.spotify.com/track/6kls8cSlUyHW2BUOkDJIZE,1/2/2020
86,Indeciso,Reik,6890540,https://open.spotify.com/track/59s0s39NFWScuHDbHytI14,1/2/2020
87,If the World Was Ending - feat. Julia Michaels,JP Saxe,6817858,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ,1/2/2020
88,"thank u, next",Ariana Grande,6803820,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ,1/2/2020
89,Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,6759098,https://open.spotify.com/track/6osaMSJh9NguagEDQcZaKx,1/2/2020
90,Quizas,Rich Music LTD,6742507,https://open.spotify.com/track/5Id5B3dxJZhPcV9GzgYZZe,1/2/2020
91,Sweet but Psycho,Ava Max,6741011,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,1/2/2020
92,Money In The Grave (Drake ft. Rick Ross),Drake,6716099,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb,1/2/2020
93,SICKO MODE,Travis Scott,6686410,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,1/2/2020
94,Girls Like You (feat. Cardi B),Maroon 5,6632526,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8,1/2/2020
95,"Yo x Ti, Tu x Mi",ROSALÍA,6619985,https://open.spotify.com/track/7BlBVFwvbWvcwNcUarQmjk,1/2/2020
96,Without Me,Halsey,6610494,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,1/2/2020
97,Tutu,Camilo,6603051,https://open.spotify.com/track/1nocRtwyNPVtGcIJqfgdzZ,1/2/2020
98,Believer,Imagine Dragons,6588599,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP,1/2/2020
99,Liberdade Provisória,Henrique & Juliano,6574093,https://open.spotify.com/track/1vG3YuKRYqPwTmNmYgqkpg,1/2/2020
100,Bellaquita - Remix,Dalex,6563206,https://open.spotify.com/track/1Xnn1TPyr5h0hpRAT4B4EA,1/2/2020
101,Con Altura,ROSALÍA,6553879,https://open.spotify.com/track/2qG5sZ7Si6sdK74qLxedYM,1/2/2020
102,Into the Unknown,Idina Menzel,6489811,https://open.spotify.com/track/3Z0oQ8r78OUaHvGPiDBR3W,1/2/2020
103,VIBEZ,DaBaby,6480604,https://open.spotify.com/track/0fySG6A6qLE8IvDpayb5bM,1/2/2020
104,Si Te Vas,Sech,6431230,https://open.spotify.com/track/6Y4PDQv4XjYjHLeLmvyOt0,1/2/2020
105,Con Calma,Daddy Yankee,6420739,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m,1/2/2020
106,Soltera - Remix,Lunay,6413514,https://open.spotify.com/track/4t9a07PAghtQMRAIP9FQ7Z,1/2/2020
107,Graveyard,Halsey,6230416,https://open.spotify.com/track/6V9fHiv84WlVTg7CSnIVY2,1/2/2020
108,No Guidance (feat. Drake),Chris Brown,6157919,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX,1/2/2020
109,Look At Her Now,Selena Gomez,6143422,https://open.spotify.com/track/4yI3HpbSFSgFZtJP2kDe5m,1/2/2020
110,Up All Night,Khalid,6142780,https://open.spotify.com/track/1mpD5Q8IM32I4bF6eCpU74,1/2/2020
111,bury a friend,Billie Eilish,6138388,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF,1/2/2020
112,SAD!,XXXTENTACION,6127965,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2,1/2/2020
113,Dancing With A Stranger (with Normani),Sam Smith,6116873,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki,1/2/2020
114,Liar,Camila Cabello,6102634,https://open.spotify.com/track/073ILU1C3APNRGF66VhtyA,1/2/2020
115,Woah,Lil Baby,6080808,https://open.spotify.com/track/598yNsG1JFrGd4n2kMoz7F,1/2/2020
116,High Hopes,Panic! At The Disco,6066722,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom,1/2/2020
117,Hot (Remix) [feat. Gunna and Travis Scott],Young Thug,6052309,https://open.spotify.com/track/4ea9w8c4ROqiZpJVhfBA3m,1/2/2020
118,Higher Love,Kygo,6027989,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY,1/2/2020
119,July,Noah Cyrus,6002645,https://open.spotify.com/track/5a6pdCHlWS2ekOOQ70QnAr,1/2/2020
120,Suge,DaBaby,5976571,https://open.spotify.com/track/2gwkD6igEhQbDQegRCcdoB,1/2/2020
121,Que Calor (with J Balvin & El Alfa),Major Lazer,5886683,https://open.spotify.com/track/1G2CAJeP7rCwOZjlSJ0Zw3,1/2/2020
122,Better Now,Post Malone,5815158,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK,1/2/2020
123,223's (feat. 9lokknine),YNW Melly,5802073,https://open.spotify.com/track/29ZXwWOOLz9t5fa3eT3i7T,1/2/2020
124,Family,The Chainsmokers,5767152,https://open.spotify.com/track/3TKpJrY9q49Mj1JOsM9zGL,1/2/2020
125,"Writing on the Wall (feat. Post Malone, Cardi B & Rvssian)",French Montana,5759111,https://open.spotify.com/track/7ntUbTIwmwOD6ygCMRZT6e,1/2/2020
126,Legends,Juice WRLD,5721876,https://open.spotify.com/track/1Knctxx9vGZxpZfF66BIEa,1/2/2020
127,Say So,Doja Cat,5656539,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ,1/2/2020
128,Candy,Doja Cat,5632102,https://open.spotify.com/track/1VJwtWR6z7SpZRwipI12be,1/2/2020
129,Eastside (with Halsey & Khalid),benny blanco,5615316,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU,1/2/2020
130,God's Plan,Drake,5610279,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn,1/2/2020
131,Turn Me On (feat. Vula),Riton,5587052,https://open.spotify.com/track/0qaWEvPkts34WF68r8Dzx9,1/2/2020
